radius,rho,theta,phi,x,y,z
135.8249959208802,864.1750040791198,1.9459723138778224,2.541634130017681,-178.7917106224252,453.9821269394214,-713.2546461870493
135.8249959208802,864.1750040791198,1.4215804884796865,2.4728159891123633,79.65520479492882,529.8575686537764,-678.015075764937
180.7331951446735,574.3708915184448,1.6319171510541208,2.6101590358003555,-17.779595532366258,290.53027605112493,-495.15448670496323
189.23548923522029,772.8243845018212,0.7887758917167867,2.4912291623928695,329.7544516696841,331.98965196920983,-615.0629251304356
150.64286479728557,849.3571352027144,1.9459723138778224,2.877129719429167,-81.35407103613402,206.5716250243902,-819.8275562460635
132.1960869001821,501.97213068752956,0.9439068365223182,2.2340771847988354,232.03634670637365,320.3322857908641,-309.06695144278683
193.8031369103608,793.9842825814878,0.9069403332189746,2.0061533954130657,443.58546263878225,567.025786911111,-334.85031775378786
187.73091141701212,812.2690885829879,2.5664830454389738,2.442452079464701,-438.65157447527986,284.3344529044532,-621.7071556362539
168.66604462758818,734.2340733804174,2.0211994715671,2.198003593275112,-258.7971685984178,535.1998674804199,-430.9115940505467
238.42819277193746,625.3176550968711,0.18619807476979688,2.102050070556421,529.8129341511296,99.80624132132786,-316.7951053525436
149.73577550223624,713.4537087720922,1.3987073718878038,2.1631224948049734,101.35962708428086,583.1697385003451,-398.31580015789984
139.03639241422187,410.25676354790835,0.7012952756564876,1.7077710341803374,310.5032941636703,262.2215871196099,-56.01924311150978
